dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3724,2021-01-21T11:25:56Z,parking,43.462539673,-3.799808979,1,http://datos.santander.es/api/datos/sensores_smart_parking/3724.csv
3815,2021-01-20T16:57:53Z,parking,43.463577271,-3.799747467,1,http://datos.santander.es/api/datos/sensores_smart_parking/3815.csv
3663,2021-01-18T10:27:48Z,parking,43.462913513,-3.80030179,1,http://datos.santander.es/api/datos/sensores_smart_parking/3663.csv
3680,2021-01-16T19:54:23Z,parking,43.463420868,-3.798890114,0,http://datos.santander.es/api/datos/sensores_smart_parking/3680.csv
3727,2021-01-16T10:51:24Z,parking,43.462562561,-3.799583197,0,http://datos.santander.es/api/datos/sensores_smart_parking/3727.csv
3916,2021-01-14T13:08:08Z,parking,43.463996887,-3.7977283,1,http://datos.santander.es/api/datos/sensores_smart_parking/3916.csv
3778,2021-01-14T08:26:29Z,parking,43.462776184,-3.798361778,1,http://datos.santander.es/api/datos/sensores_smart_parking/3778.csv
3818,2021-01-12T09:16:40Z,parking,43.463436127,-3.799721241,1,http://datos.santander.es/api/datos/sensores_smart_parking/3818.csv
3753,2021-01-05T18:22:20Z,parking,43.463825226,-3.798545599,1,http://datos.santander.es/api/datos/sensores_smart_parking/3753.csv
3772,2021-01-03T07:52:13Z,parking,43.463195801,-3.798430681,1,http://datos.santander.es/api/datos/sensores_smart_parking/3772.csv
3698,2020-12-18T06:34:41Z,parking,43.4635849,-3.797041178,1,http://datos.santander.es/api/datos/sensores_smart_parking/3698.csv
3690,2020-12-04T13:09:58Z,parking,43.463516235,-3.797752857,1,http://datos.santander.es/api/datos/sensores_smart_parking/3690.csv
3679,2020-11-30T09:05:20Z,parking,43.46339798,-3.798918247,1,http://datos.santander.es/api/datos/sensores_smart_parking/3679.csv
4400,2020-11-11T09:27:37Z,parking,43.47177887,-3.801382065,1,http://datos.santander.es/api/datos/sensores_smart_parking/4400.csv
3754,2020-10-27T08:27:19Z,parking,43.463760376,-3.798536301,1,http://datos.santander.es/api/datos/sensores_smart_parking/3754.csv
3810,2020-03-19T12:46:53Z,parking,43.46397786,-3.799816221,1,http://datos.santander.es/api/datos/sensores_smart_parking/3810.csv
3907,2020-03-19T12:37:41Z,parking,43.464328766,-3.799622059,1,http://datos.santander.es/api/datos/sensores_smart_parking/3907.csv
3796,2020-03-19T12:01:28Z,parking,43.463198825,-3.799604774,1,http://datos.santander.es/api/datos/sensores_smart_parking/3796.csv
3809,2020-03-19T12:00:55Z,parking,43.464025015,-3.799824417,1,http://datos.santander.es/api/datos/sensores_smart_parking/3809.csv
3920,2020-02-04T16:49:30Z,parking,43.46401255,-3.799446595,1,http://datos.santander.es/api/datos/sensores_smart_parking/3920.csv
3842,2019-12-08T14:51:29Z,parking,43.463990592,-3.797665727,0,http://datos.santander.es/api/datos/sensores_smart_parking/3842.csv
3623,2019-10-31T12:57:23Z,parking,43.46304253,-3.802011833,0,http://datos.santander.es/api/datos/sensores_smart_parking/3623.csv
3732,2019-06-19T09:30:41Z,parking,43.462636135,-3.798919246,1,http://datos.santander.es/api/datos/sensores_smart_parking/3732.csv
3776,2019-05-14T06:15:36Z,parking,43.462913068,-3.79835397,1,http://datos.santander.es/api/datos/sensores_smart_parking/3776.csv
3773,2019-05-14T05:53:34Z,parking,43.463038483,-3.798377064,1,http://datos.santander.es/api/datos/sensores_smart_parking/3773.csv
3896,2019-05-14T05:28:06Z,parking,43.464118612,-3.798577264,1,http://datos.santander.es/api/datos/sensores_smart_parking/3896.csv
3752,2019-05-14T05:10:47Z,parking,43.463583602,-3.798412289,1,http://datos.santander.es/api/datos/sensores_smart_parking/3752.csv
3771,2019-05-14T03:39:58Z,parking,43.463267871,-3.798417002,0,http://datos.santander.es/api/datos/sensores_smart_parking/3771.csv
3731,2019-05-13T14:33:24Z,parking,43.462621534,-3.799056709,1,http://datos.santander.es/api/datos/sensores_smart_parking/3731.csv
3730,2019-05-13T11:01:11Z,parking,43.46261326,-3.79914254,0,http://datos.santander.es/api/datos/sensores_smart_parking/3730.csv
3723,2019-05-13T08:50:33Z,parking,43.462539767,-3.799912333,1,http://datos.santander.es/api/datos/sensores_smart_parking/3723.csv
3721,2019-05-13T08:48:01Z,parking,43.462510079,-3.800196648,1,http://datos.santander.es/api/datos/sensores_smart_parking/3721.csv
3720,2019-05-13T08:47:29Z,parking,43.462504725,-3.800259009,1,http://datos.santander.es/api/datos/sensores_smart_parking/3720.csv
3719,2019-05-13T08:46:29Z,parking,43.462499858,-3.800310642,1,http://datos.santander.es/api/datos/sensores_smart_parking/3719.csv
3718,2019-05-13T08:46:13Z,parking,43.462494991,-3.800364956,0,http://datos.santander.es/api/datos/sensores_smart_parking/3718.csv
3716,2019-05-13T07:01:39Z,parking,43.46248185,-3.800479621,1,http://datos.santander.es/api/datos/sensores_smart_parking/3716.csv
3707,2019-05-13T06:24:55Z,parking,43.462433179,-3.801003322,0,http://datos.santander.es/api/datos/sensores_smart_parking/3707.csv
3708,2019-05-13T06:24:21Z,parking,43.462438533,-3.800951689,1,http://datos.santander.es/api/datos/sensores_smart_parking/3708.csv
3712,2019-05-13T06:18:33Z,parking,43.462459461,-3.800733089,1,http://datos.santander.es/api/datos/sensores_smart_parking/3712.csv
3737,2019-05-12T21:11:05Z,parking,43.46266485,-3.798610121,1,http://datos.santander.es/api/datos/sensores_smart_parking/3737.csv
3742,2019-05-12T12:00:15Z,parking,43.464256678,-3.798535314,1,http://datos.santander.es/api/datos/sensores_smart_parking/3742.csv
3751,2019-05-08T09:54:12Z,parking,43.463622051,-3.798421677,1,http://datos.santander.es/api/datos/sensores_smart_parking/3751.csv
3899,2019-05-07T08:13:23Z,parking,43.463986232,-3.798553124,0,http://datos.santander.es/api/datos/sensores_smart_parking/3899.csv
3830,2019-02-04T05:58:36Z,parking,43.463844584,-3.799114791,1,http://datos.santander.es/api/datos/sensores_smart_parking/3830.csv
3902,2018-12-27T11:04:10Z,parking,43.46428607,-3.800451752,1,http://datos.santander.es/api/datos/sensores_smart_parking/3902.csv
3849,2018-11-21T22:53:50Z,parking,43.464046581,-3.797063157,0,http://datos.santander.es/api/datos/sensores_smart_parking/3849.csv
3844,2018-08-11T06:54:20Z,parking,43.464000812,-3.797539664,0,http://datos.santander.es/api/datos/sensores_smart_parking/3844.csv
3850,2018-08-08T08:00:52Z,parking,43.464051448,-3.797010183,0,http://datos.santander.es/api/datos/sensores_smart_parking/3850.csv
3848,2018-07-23T05:13:21Z,parking,43.464037334,-3.797136918,0,http://datos.santander.es/api/datos/sensores_smart_parking/3848.csv
3845,2018-07-20T13:19:56Z,parking,43.464010059,-3.797441092,0,http://datos.santander.es/api/datos/sensores_smart_parking/3845.csv
3843,2018-06-15T10:44:35Z,parking,43.463993512,-3.797612754,1,http://datos.santander.es/api/datos/sensores_smart_parking/3843.csv
3615,2018-06-11T14:06:03Z,parking,43.462925235,-3.803205416,0,http://datos.santander.es/api/datos/sensores_smart_parking/3615.csv
3614,2018-06-11T13:14:07Z,parking,43.462917935,-3.803268448,1,http://datos.santander.es/api/datos/sensores_smart_parking/3614.csv
3613,2018-06-11T13:03:35Z,parking,43.462913068,-3.803329468,1,http://datos.santander.es/api/datos/sensores_smart_parking/3613.csv
3611,2018-06-11T12:59:47Z,parking,43.46289944,-3.803448156,1,http://datos.santander.es/api/datos/sensores_smart_parking/3611.csv
3628,2018-06-11T08:31:02Z,parking,43.463072218,-3.801704049,1,http://datos.santander.es/api/datos/sensores_smart_parking/3628.csv
3627,2018-06-11T08:30:40Z,parking,43.463064918,-3.801763058,1,http://datos.santander.es/api/datos/sensores_smart_parking/3627.csv
3621,2018-06-11T08:23:04Z,parking,43.463029876,-3.802122474,1,http://datos.santander.es/api/datos/sensores_smart_parking/3621.csv
3619,2018-06-11T08:20:18Z,parking,43.463017708,-3.802238479,1,http://datos.santander.es/api/datos/sensores_smart_parking/3619.csv
3624,2018-06-11T08:18:16Z,parking,43.463048857,-3.801953495,1,http://datos.santander.es/api/datos/sensores_smart_parking/3624.csv
3914,2018-06-11T08:00:52Z,parking,43.462981729,-3.802627695,1,http://datos.santander.es/api/datos/sensores_smart_parking/3914.csv
3913,2018-06-11T07:59:58Z,parking,43.462977349,-3.802682009,1,http://datos.santander.es/api/datos/sensores_smart_parking/3913.csv
3912,2018-06-11T07:58:40Z,parking,43.462970049,-3.802751076,1,http://datos.santander.es/api/datos/sensores_smart_parking/3912.csv
3911,2018-06-11T07:57:55Z,parking,43.462964208,-3.802810755,1,http://datos.santander.es/api/datos/sensores_smart_parking/3911.csv
3616,2018-06-11T07:34:01Z,parking,43.463002134,-3.802423552,1,http://datos.santander.es/api/datos/sensores_smart_parking/3616.csv
3618,2018-06-11T07:24:27Z,parking,43.463010408,-3.802311569,1,http://datos.santander.es/api/datos/sensores_smart_parking/3618.csv
3626,2018-06-11T07:15:05Z,parking,43.463061511,-3.801823407,1,http://datos.santander.es/api/datos/sensores_smart_parking/3626.csv
3629,2018-06-11T07:13:17Z,parking,43.463077572,-3.801645711,1,http://datos.santander.es/api/datos/sensores_smart_parking/3629.csv
3620,2018-06-11T05:38:40Z,parking,43.463023548,-3.802177459,1,http://datos.santander.es/api/datos/sensores_smart_parking/3620.csv
3612,2018-06-06T02:45:57Z,parking,43.462907227,-3.803390488,1,http://datos.santander.es/api/datos/sensores_smart_parking/3612.csv
3630,2018-06-04T16:37:20Z,parking,43.463083899,-3.801594079,1,http://datos.santander.es/api/datos/sensores_smart_parking/3630.csv
