FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7429,83,4020,2019-07-30T03:47:33.182,5.991,59.37437439,19,326.11083984,3.2043457,231.7199707,3.2043457,233.82568359,-3.47900391,34.97314453,377.47192383,-5.48167509,68.02810001,29.58679199,96.352342
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7428,83,4020,2019-07-30T03:37:35.101,5.989,58.48364258,19,332.24487305,8.60595703,226.77612305,-1.00708008,228.88183594,-9.61303711,34.51538086,376.64794922,5.10971967,53.84821523,8.28806559,95.32596605
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7427,83,4020,2019-07-30T03:27:32.05,5.993,58.60189819,19,332.97729492,9.61303711,228.60717773,-0.54931641,229.52270508,-6.59179688,33.87451172,376.64794922,7.08438649,55.38950705,18.77848307,93.88903973
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7426,88,4021,2019-07-30T03:57:13.397,6.019,58.95857239,19,322.99804688,-0.91552734,229.06494141,-2.6550293,233.09326172,-4.11987305,37.90283203,381.95800781,-1.7339533,22.88152867,11.56677491,79.47543969
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7425,88,4022,2019-07-30T03:42:47.441,5.879,56.26921082,19,324.00512695,18.95141602,208.46557617,-19.13452148,218.81103516,-5.49316406,66.37573242,399.53613281,5.61105706,26.39422321,-1.81310317,88.93822108
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7424,88,4022,2019-07-30T03:32:47.2,5.879,56.85476685,19,320.70922852,15.38085938,210.6628418,-16.93725586,220.27587891,-4.57763672,66.55883789,400.90942383,-1.17707343,33.76759779,1.55280618,89.38591171
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7423,88,4022,2019-07-30T03:22:43.347,5.88,57.16947937,19,325.56152344,19.13452148,207.7331543,-19.04296875,217.0715332,-7.59887695,65.82641602,399.35302734,5.95916632,26.70144715,-9.55469468,87.59514918
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7422,88,4022,2019-07-30T04:32:45.08,5.878,57.04168701,19,323.08959961,19.04296875,208.0078125,-19.86694336,219.26879883,-4.94384766,66.65039062,401.27563477,5.78511169,23.93643168,0.20644244,89.60975703
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7421,88,4022,2019-07-30T04:22:45,5.878,57.29154968,19,321.53320312,17.8527832,210.20507812,-17.8527832,219.17724609,-5.31005859,65.00244141,399.44458008,3.52240153,30.69535838,-1.1399213,85.58054134
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7420,88,4022,2019-07-30T04:12:40.931,5.88,57.16184998,19,314.11743164,10.07080078,212.95166016,-14.9230957,223.48022461,-1.37329102,65.55175781,399.53613281,-11.27224186,40.52652449,13.33348891,86.92361323
