FID,groupname,description,enable,group_parent_id,type,pt,subtype,layer
inventory_groups.278,FACTOR_POTENCIA,,1,276,COS,,0,null
inventory_groups.281,ARMONICOS_INTENSIDAD,,1,276,COS,,0,null
inventory_groups.280,ARMONICOS_TENSION,,1,276,COS,,0,null
inventory_groups.283,A_CONTADOR_AGUA,,1,282,COS,,0,null
inventory_groups.282,Consumo Agua,,1,2,LOG,POINT (-5.786607641813285 38.9737988247849),3,null
inventory_groups.294,Calefaccion Gas,,1,2,LOG,POINT (-5.7868021019668685 38.97373001184495),2,null
inventory_groups.296,T_TEMPERATURA_RETORNO,,1,294,COS,,0,null
inventory_groups.299,T_TEMPERATURA_IMPULSION,,1,294,COS,,0,null
inventory_groups.505,FACTOR_POTENCIA,,1,503,COS,,0,null
inventory_groups.504,POTENCIA_ACTIVA,,1,503,COS,,0,null
inventory_groups.506,ENERGIA_REACTIVA,,1,503,COS,,0,null
inventory_groups.633,AR5-ASC,,1,569,LOG,,1,null
inventory_groups.634,POTENCIA_ACTIVA,,1,633,COS,,0,null
inventory_groups.635,FACTOR_POTENCIA,,1,633,COS,,0,null
inventory_groups.129,A_CONTADOR_AGUA,,1,128,COS,,0,null
inventory_groups.636,ENERGIA_REACTIVA,,1,633,COS,,0,null
inventory_groups.128,Consumo Agua,,1,7,LOG,POINT (-5.800320854497085 38.9738752401074),3,null
inventory_groups.637,ARMONICOS_TENSION,,1,633,COS,,0,null
inventory_groups.638,ARMONICOS_INTENSIDAD,,1,633,COS,,0,null
inventory_groups.298,T_CAUDAL,,1,294,COS,,0,null
inventory_groups.295,T_POTENCIA_TERMICA_ABSORBIDA,,1,294,COS,,0,null
inventory_groups.297,T_POTENCIA_TERMICA_UTIL,,1,294,COS,,0,null
inventory_groups.300,T_RENDIMIENTO_GEN,,1,294,COS,,0,null
inventory_groups.642,HUMEDAD,,1,640,CON,,0,null
inventory_groups.640,TH-ESC,,1,666,LOG,,6,null
inventory_groups.655,HUM-PPRIM,,1,665,LOG,,6,null
inventory_groups.648,HUMEDAD,,1,646,CON,,0,null
inventory_groups.57,HUMEDAD,,1,48,CON,,0,null
inventory_groups.87,POTENCIA_ACTIVA,,1,86,COS,,0,null
inventory_groups.86,Analizador General,,1,7,LOG,POINT (-5.800547563856874 38.97371869217371),1,null
inventory_groups.89,ENERGIA_REACTIVA,,1,86,COS,,0,null
inventory_groups.88,FACTOR_POTENCIA,,1,86,COS,,0,null
inventory_groups.90,ARMONICOS_TENSION,,1,86,COS,,0,null
inventory_groups.515,ARMONICOS_INTENSIDAD,,1,102,COS,,0,null
inventory_groups.102,Analizador Planta 1,,1,7,LOG,,0,null
inventory_groups.101,ARMONICOS_INTENSIDAD,,1,86,COS,,0,null
inventory_groups.103,POTENCIA_ACTIVA,,1,102,COS,,0,null
inventory_groups.107,ARMONICOS_TENSION,,1,102,COS,,0,null
inventory_groups.105,ENERGIA_REACTIVA,,1,102,COS,,0,null
inventory_groups.104,FACTOR_POTENCIA,,1,102,COS,,0,null
inventory_groups.131,POTENCIA_ACTIVA,,1,130,COS,,0,null
inventory_groups.130,Analizador Planta 2,,1,7,LOG,,0,null
inventory_groups.132,FACTOR_POTENCIA,,1,130,COS,,0,null
inventory_groups.135,ARMONICOS_INTENSIDAD,,1,130,COS,,0,null
inventory_groups.134,ARMONICOS_TENSION,,1,130,COS,,0,null
inventory_groups.133,ENERGIA_REACTIVA,,1,130,COS,,0,null
inventory_groups.662,HUMEDAD,,1,655,CON,,0,null
inventory_groups.664,P-BAJA,,1,569,LOC,,0,
inventory_groups.646,HREC,,1,664,LOG,,6,null
inventory_groups.665,P-PRIMERA,,1,569,LOC,,0,
inventory_groups.161,TEMPERATURA,,1,160,CON,,0,null
inventory_groups.158,Pasillo,,1,2,LOC,POINT (-5.786310550629277 38.973742490454995),0,
inventory_groups.363,Analizador Alumbrado Intervencion Recaudacion,,1,154,LOG,,0,null
inventory_groups.136,Analizador Castillete,,1,7,LOG,,0,null
inventory_groups.139,ENERGIA_REACTIVA,,1,136,COS,,0,null
inventory_groups.138,FACTOR_POTENCIA,,1,136,COS,,0,null
inventory_groups.137,POTENCIA_ACTIVA,,1,136,COS,,0,null
inventory_groups.141,ARMONICOS_INTENSIDAD,,1,136,COS,,0,null
inventory_groups.140,ARMONICOS_TENSION,,1,136,COS,,0,null
inventory_groups.142,Analizador SAI,,1,7,LOG,,0,null
inventory_groups.145,ENERGIA_REACTIVA,,1,142,COS,,0,null
inventory_groups.144,FACTOR_POTENCIA,,1,142,COS,,0,null
inventory_groups.143,POTENCIA_ACTIVA,,1,142,COS,,0,null
inventory_groups.146,ARMONICOS_TENSION,,1,142,COS,,0,null
inventory_groups.149,POTENCIA_ACTIVA,,1,148,COS,,0,null
inventory_groups.148,Analizador Planta 0,,1,7,LOG,,0,null
inventory_groups.147,ARMONICOS_INTENSIDAD,,1,142,COS,,0,null
inventory_groups.151,ENERGIA_REACTIVA,,1,148,COS,,0,null
inventory_groups.150,FACTOR_POTENCIA,,1,148,COS,,0,null
inventory_groups.152,ARMONICOS_TENSION,,1,148,COS,,0,null
inventory_groups.301,Planta Baja,,1,154,LOC,,0,
inventory_groups.154,Ayuntamiento,,1,1,LOC,POINT (-5.800698392070377 38.97400109961678),0,
inventory_groups.153,ARMONICOS_INTENSIDAD,,1,148,COS,,0,null
inventory_groups.303,Patio Interior,,1,301,LOC,,0,
inventory_groups.359,HUMEDAD,,1,352,CON,,0,null
inventory_groups.353,TEMPERATURA,,1,352,CON,,0,null
inventory_groups.352,Temperatura y Humedad,,1,303,LOG,POINT (-5.800706365355772 38.97419606869335),6,null
inventory_groups.362,A_CONTADOR_AGUA,,1,361,COS,,0,null
