Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-008;47.729;2023-11-09 03:21:23.81
BI-RUI-P008;57.5;2023-11-09 03:21:37.247
BI-RUI-P012;56.1;2023-11-09 03:22:48.9
BI-RUI-022;59.361;2023-11-09 03:23:36.03
BI-RUI-BR7;50.159;2023-11-09 03:26:37.507
BI-RUI-021;46.80;2023-11-09 03:26:45.68
BI-RUI-023;45.711;2023-11-09 03:27:18.077
BI-RUI-C010;62.006;2023-11-09 03:27:18.653
BI-RUI-P014;55.0;2023-11-09 03:27:50.033
BI-RUI-P013;57.4;2023-11-09 03:28:14.443
BI-RUI-P010;55.5;2023-11-09 03:29:11.543
BI-RUI-015;57.520;2023-11-09 03:29:48.44
BI-RUI-P005;55.4;2023-11-09 03:30:13.473
BI-RUI-004;54.597;2023-11-09 03:30:14.88
BI-RUI-006;60.780;2023-11-09 03:30:22.147
BI-RUI-009;49.544;2023-11-09 03:30:25.54
BI-RUI-019;56.746;2023-11-09 03:30:32.383
BI-RUI-001;54.312;2023-11-09 03:30:41.73
BI-RUI-C002;64.223;2023-11-09 03:30:51.167
BI-RUI-C008;52.071;2023-11-09 03:31:35.923
BI-RUI-010;57.874;2023-11-09 03:32:14.867
BI-RUI-020;42.60;2023-11-09 03:32:40.667
BI-RUI-P011;50.3;2023-11-09 03:32:55.92
BI-RUI-C003;42.667;2023-11-09 03:33:20.907
BI-RUI-BR2;51.232;2023-11-09 03:33:32.767
BI-RUI-BR8;53.70;2023-11-09 03:34:09.337
BI-RUI-BR6;42.20;2023-11-09 03:34:20.68
BI-RUI-C005;44.60;2023-11-09 03:34:22.947
BI-RUI-011;53.224;2023-11-09 03:35:27.987
BI-RUI-P009;57.8;2023-11-09 03:35:54.537
BI-RUI-008;52.261;2023-11-09 03:36:24.01
BI-RUI-BR5;51.820;2023-11-09 03:36:24.197
BI-RUI-P008;59.6;2023-11-09 03:36:37.683
BI-RUI-P006;60.6;2023-11-09 03:37:08.22
BI-RUI-P012;56.2;2023-11-09 03:37:49.49
BI-RUI-022;50.591;2023-11-09 03:38:36.23
BI-RUI-BR7;50.104;2023-11-09 03:41:32.553
BI-RUI-021;38.50;2023-11-09 03:41:55.103
BI-RUI-023;45.806;2023-11-09 03:42:13.497
BI-RUI-C010;58.326;2023-11-09 03:42:39.047
BI-RUI-P014;54.3;2023-11-09 03:42:50.187
BI-RUI-P002;53.3;2023-11-09 03:43:02.097
